"","sd"
"clorofila_media",0.421356167470898
"salinidad_rango",2.09215540902423
"temperatura_rango",0.948483785224132
"velocidad_corriente_media",0.0807863800385502
"ph_rango",0.0122152550117564
"batimetria",12.4817810846141
"distancia_costa",34.0866812743963
"concavidad",14.6981034241734
