pais,escenario,idoneidad
Colombia,Optimista,0.047448351979255676
Colombia,Pesimista,0.008619287051260471
Colombia,Actual,0.21323344111442566
Colombia,Optimista,0.050934188067913055
Colombia,Pesimista,0.009256705641746521
Colombia,Actual,0.23916621506214142
Colombia,Optimista,0.057778798043727875
Colombia,Pesimista,0.010518754832446575
Colombia,Actual,0.24182288348674774
Colombia,Optimista,0.05844106897711754
Colombia,Pesimista,0.01062749046832323
Colombia,Actual,0.24699082970619202
Colombia,Optimista,0.059794481843709946
Colombia,Pesimista,0.010862786322832108
Colombia,Actual,0.25135111808776855
Colombia,Optimista,0.06094329059123993
Colombia,Pesimista,0.011057513765990734
Colombia,Actual,0.2565471827983856
Colombia,Optimista,0.062317341566085815
Colombia,Pesimista,0.011288098990917206
Colombia,Actual,0.24875877797603607
Colombia,Optimista,0.060142047703266144
Colombia,Pesimista,0.0108546307310462
Colombia,Actual,0.2055785208940506
Colombia,Optimista,0.048647478222846985
Colombia,Pesimista,0.00871233083307743
Colombia,Actual,0.11736691743135452
Colombia,Optimista,0.026675742119550705
Colombia,Pesimista,0.00471927784383297
Colombia,Actual,0.10246671736240387
Colombia,Optimista,0.023405911400914192
Colombia,Pesimista,0.004261350724846125
Colombia,Actual,0.28622105717658997
Colombia,Optimista,0.07117991149425507
Colombia,Pesimista,0.013201110064983368
Colombia,Actual,0.23594537377357483
Colombia,Optimista,0.05720887705683708
Colombia,Pesimista,0.010525887832045555
Colombia,Actual,0.23199813067913055
Colombia,Optimista,0.05612392723560333
Colombia,Pesimista,0.010301119647920132
Colombia,Actual,0.2268911898136139
Colombia,Optimista,0.05473467335104942
Colombia,Pesimista,0.010019865818321705
Colombia,Actual,0.22300966084003448
Colombia,Optimista,0.053680576384067535
Colombia,Pesimista,0.00980211328715086
Colombia,Actual,0.2284281849861145
Colombia,Optimista,0.05507677048444748
Colombia,Pesimista,0.010048332624137402
Colombia,Actual,0.23447132110595703
Colombia,Optimista,0.05661945790052414
Colombia,Pesimista,0.01032669935375452
Colombia,Actual,0.23769520223140717
Colombia,Optimista,0.05741701275110245
Colombia,Pesimista,0.010463778860867023
Colombia,Actual,0.24349145591259003
Colombia,Optimista,0.05892069265246391
Colombia,Pesimista,0.010730551555752754
Colombia,Actual,0.24853689968585968
Colombia,Optimista,0.06023648381233215
Colombia,Pesimista,0.010959899052977562
Colombia,Actual,0.25278836488723755
Colombia,Optimista,0.061350636184215546
Colombia,Pesimista,0.011149161495268345
Colombia,Actual,0.2592393755912781
Colombia,Optimista,0.06306588649749756
Colombia,Pesimista,0.011445706710219383
Colombia,Actual,0.23718510568141937
Colombia,Optimista,0.057027220726013184
Colombia,Pesimista,0.010298077017068863
Colombia,Actual,0.19880613684654236
Colombia,Optimista,0.046898484230041504
Colombia,Pesimista,0.008411151356995106
Colombia,Actual,0.16906286776065826
Colombia,Optimista,0.03931547328829765
Colombia,Pesimista,0.007010048255324364
Colombia,Actual,0.11194245517253876
Colombia,Optimista,0.025650961324572563
Colombia,Pesimista,0.004686848726123571
Colombia,Actual,0.2647824287414551
Colombia,Optimista,0.06510458886623383
Colombia,Pesimista,0.012070677243173122
Colombia,Actual,0.23646745085716248
Colombia,Optimista,0.05733649805188179
Colombia,Pesimista,0.010571414604783058
Colombia,Actual,0.23269343376159668
Colombia,Optimista,0.056316077709198
Colombia,Pesimista,0.010355228558182716
Colombia,Actual,0.22894269227981567
Colombia,Optimista,0.055306948721408844
Colombia,Pesimista,0.010141774080693722
Colombia,Actual,0.22521591186523438
Colombia,Optimista,0.054309118539094925
Colombia,Pesimista,0.009931049309670925
Colombia,Actual,0.22709684073925018
Colombia,Optimista,0.05476699024438858
Colombia,Pesimista,0.010000995360314846
Colombia,Actual,0.2341146320104599
Colombia,Optimista,0.05656437948346138
Colombia,Pesimista,0.010328029282391071
Colombia,Actual,0.23955370485782623
Colombia,Optimista,0.057953011244535446
Colombia,Pesimista,0.010576586239039898
Colombia,Actual,0.24521730840206146
Colombia,Optimista,0.05941705405712128
Colombia,Pesimista,0.010837043635547161
Colombia,Actual,0.25014156103134155
Colombia,Optimista,0.06069544330239296
Colombia,Pesimista,0.011060458607971668
Colombia,Actual,0.25428566336631775
Colombia,Optimista,0.06177521497011185
Colombia,Pesimista,0.011244305409491062
Colombia,Actual,0.2646830379962921
Colombia,Optimista,0.0645756945014
Colombia,Pesimista,0.011746174655854702
Colombia,Actual,0.21349969506263733
Colombia,Optimista,0.050758667290210724
Colombia,Pesimista,0.0091587090864777565
Colombia,Actual,0.13941994309425354
Colombia,Optimista,0.03201654553413391
Colombia,Pesimista,0.0057183317840099335
Colombia,Actual,0.05336380749940872
Colombia,Optimista,0.011806597001850605
Colombia,Pesimista,0.002086058259010315
Colombia,Actual,0.06409434229135513
Colombia,Optimista,0.014384542591869831
Colombia,Pesimista,0.0026261447928845882
Colombia,Actual,0.21757155656814575
Colombia,Optimista,0.05224081128835678
Colombia,Pesimista,0.00967868696898222
Colombia,Actual,0.24948035180568695
Colombia,Optimista,0.06084602326154709
Colombia,Pesimista,0.01128670945763588
Colombia,Actual,0.23826560378074646
Colombia,Optimista,0.057809215039014816
Colombia,Pesimista,0.010682457126677036
Colombia,Actual,0.23464687168598175
Colombia,Optimista,0.05684751644730568
Colombia,Pesimista,0.010473547503352165
Colombia,Actual,0.2310507446527481
Colombia,Optimista,0.05589597299695015
Colombia,Pesimista,0.010267245583236217
Colombia,Actual,0.22747793793678284
Colombia,Optimista,0.05495468154549599
Colombia,Pesimista,0.010063568130135536
Colombia,Actual,0.2293606549501419
Colombia,Optimista,0.05541964992880821
Colombia,Pesimista,0.01013371255248785
Colombia,Actual,0.23647409677505493
Colombia,Optimista,0.05724082142114639
Colombia,Pesimista,0.010466400533914566
Colombia,Actual,0.2439683973789215
Colombia,Optimista,0.059183500707149506
Colombia,Pesimista,0.010819878429174423
Colombia,Actual,0.24700117111206055
Colombia,Optimista,0.05993048474192619
Colombia,Pesimista,0.010947057977318764
Colombia,Actual,0.25180572271347046
Colombia,Optimista,0.06117171794176102
Colombia,Pesimista,0.011164557188749313
Colombia,Actual,0.2558436691761017
Colombia,Optimista,0.062217265367507935
Colombia,Pesimista,0.011343003250658512
Colombia,Actual,0.2675574719905853
Colombia,Optimista,0.06538187712430954
Colombia,Pesimista,0.011916020885109901
Colombia,Actual,0.20017710328102112
Colombia,Optimista,0.04729923978447914
Colombia,Pesimista,0.008538024500012398
Colombia,Actual,0.1324910968542099
Colombia,Optimista,0.03033456951379776
Colombia,Pesimista,0.005425912793725729
Colombia,Actual,0.05176300182938576
Colombia,Optimista,0.011444942094385624
Colombia,Pesimista,0.0020268596708774567
Colombia,Actual,0.09797456860542297
Colombia,Optimista,0.022277923300862312
Colombia,Pesimista,0.004092026501893997
Colombia,Actual,0.2847801744937897
Colombia,Optimista,0.07061155140399933
Colombia,Pesimista,0.013220956549048424
Colombia,Actual,0.24360884726047516
Colombia,Optimista,0.0592106468975544
Colombia,Pesimista,0.011001292616128922
Colombia,Actual,0.2401229739189148
Colombia,Optimista,0.05829867720603943
Colombia,Pesimista,0.010797153227031231
Colombia,Actual,0.23665861785411835
Colombia,Optimista,0.057395853102207184
Colombia,Pesimista,0.01059552188962698
Colombia,Actual,0.23321643471717834
Colombia,Optimista,0.05650218948721886
Colombia,Pesimista,0.010396387428045273
Colombia,Actual,0.22979678213596344
Colombia,Optimista,0.05561767891049385
Colombia,Pesimista,0.01019976381212473
Colombia,Actual,0.23288580775260925
Colombia,Optimista,0.056414175778627396
Colombia,Pesimista,0.010330919176340103
Colombia,Actual,0.22388145327568054
Colombia,Optimista,0.053904447704553604
Colombia,Pesimista,0.009853361174464226
Colombia,Actual,0.2120552361011505
Colombia,Optimista,0.05069053918123245
Colombia,Pesimista,0.009244567714631557
Colombia,Actual,0.2514064908027649
Colombia,Optimista,0.061160858720541
Colombia,Pesimista,0.011192003265023232
Colombia,Actual,0.2535300552845001
Colombia,Optimista,0.061665575951337814
Colombia,Pesimista,0.011272281408309937
Colombia,Actual,0.23138292133808136
Colombia,Optimista,0.055495042353868484
Colombia,Pesimista,0.010071800090372562
Colombia,Actual,0.16954602301120758
Colombia,Optimista,0.0394677110016346
Colombia,Pesimista,0.007102395873516798
Colombia,Actual,0.1411679983139038
Colombia,Optimista,0.032421063631772995
Colombia,Pesimista,0.0058066812343895435
Colombia,Actual,0.04728648439049721
Colombia,Optimista,0.009553788229823112
Colombia,Pesimista,0.0016344410832971334
Colombia,Actual,0.1176367700099945
Colombia,Optimista,0.024503305554389954
Colombia,Pesimista,0.004216271918267012
Colombia,Actual,0.13946932554244995
Colombia,Optimista,0.02922195941209793
Colombia,Pesimista,0.005046579986810684
Colombia,Actual,0.12349241226911545
Colombia,Optimista,0.025652367621660233
Colombia,Pesimista,0.004426214378327131
Colombia,Actual,0.025810156017541885
Colombia,Optimista,0.005695143714547157
Colombia,Pesimista,0.0010418351739645004
Colombia,Actual,0.10905063897371292
Colombia,Optimista,0.0248873271048069
Colombia,Pesimista,0.004589144140481949
Colombia,Actual,0.2739413380622864
Colombia,Optimista,0.06749288737773895
Colombia,Pesimista,0.012653292156755924
Colombia,Actual,0.24537210166454315
Colombia,Optimista,0.05965719744563103
Colombia,Pesimista,0.011112323962152004
Colombia,Actual,0.24204041063785553
Colombia,Optimista,0.05880521982908249
Colombia,Pesimista,0.010915587656199932
Colombia,Actual,0.2387298345565796
Colombia,Optimista,0.05796148627996445
Colombia,Pesimista,0.010721240192651749
Colombia,Actual,0.23544073104858398
Colombia,Optimista,0.05712590366601944
Colombia,Pesimista,0.010529295541346073
Colombia,Actual,0.23217345774173737
Colombia,Optimista,0.05629853159189224
Colombia,Pesimista,0.01033973041921854
Colombia,Actual,0.23419059813022614
Colombia,Optimista,0.05681341886520386
Colombia,Pesimista,0.010416897013783455
Colombia,Actual,0.22477304935455322
Colombia,Optimista,0.054181069135665894
Colombia,Pesimista,0.009916366077959538
Colombia,Actual,0.23160108923912048
Colombia,Optimista,0.055914729833602905
Colombia,Pesimista,0.01023254543542862
Colombia,Actual,0.2520333528518677
Colombia,Optimista,0.06136187165975571
Colombia,Pesimista,0.011244124732911587
Colombia,Actual,0.22796373069286346
Colombia,Optimista,0.05459132418036461
Colombia,Pesimista,0.009922695346176624
Colombia,Actual,0.16964071989059448
Colombia,Optimista,0.03949375078082085
Colombia,Pesimista,0.007122683338820934
Colombia,Actual,0.08236021548509598
Colombia,Optimista,0.018442271277308464
Colombia,Pesimista,0.0032918136566877365
Colombia,Actual,0.2184925377368927
Colombia,Optimista,0.04784621298313141
Colombia,Pesimista,0.008315208368003368
Colombia,Actual,0.1575297862291336
Colombia,Optimista,0.03351803123950958
Colombia,Pesimista,0.005789099261164665
Colombia,Actual,0.04045678302645683
Colombia,Optimista,0.008179550059139729
Colombia,Pesimista,0.0013977375347167253
Colombia,Actual,0.0373140424489975
Colombia,Optimista,0.007533094380050898
Colombia,Pesimista,0.0012870309874415398
Colombia,Actual,0.15545034408569336
Colombia,Optimista,0.03302762657403946
Colombia,Pesimista,0.005704667419195175
Colombia,Actual,0.27946797013282776
Colombia,Optimista,0.06305380165576935
Colombia,Pesimista,0.011035434901714325
Colombia,Actual,0.14741697907447815
Colombia,Optimista,0.03116064891219139
Colombia,Pesimista,0.005381901282817125
Colombia,Actual,0.12411516904830933
Colombia,Optimista,0.025919131934642792
Colombia,Pesimista,0.004470017738640308
Colombia,Actual,0.2884894013404846
Colombia,Optimista,0.06512268632650375
Colombia,Pesimista,0.011430746875703335
Colombia,Actual,0.1761799156665802
Colombia,Optimista,0.037559639662504196
Colombia,Pesimista,0.006519387010484934
Colombia,Actual,0.04193412885069847
Colombia,Optimista,0.009309006854891777
Colombia,Pesimista,0.001709307893179357
Colombia,Actual,0.13091301918029785
Colombia,Optimista,0.0301478561013937
Colombia,Pesimista,0.005583573132753372
Colombia,Actual,0.2699883282184601
Colombia,Optimista,0.06636006385087967
Colombia,Pesimista,0.01246180385351181
Colombia,Actual,0.24691563844680786
Colombia,Optimista,0.060053884983062744
Colombia,Pesimista,0.011212984099984169
Colombia,Actual,0.24369476735591888
Colombia,Optimista,0.05923192575573921
Colombia,Pesimista,0.011021791025996208
Colombia,Actual,0.24049128592014313
Colombia,Optimista,0.05841711536049843
Colombia,Pesimista,0.010832724161446095
Colombia,Actual,0.2373056858778
Colombia,Optimista,0.05760937184095383
Colombia,Pesimista,0.010645784437656403
Colombia,Actual,0.23413832485675812
Colombia,Optimista,0.05680876225233078
Colombia,Pesimista,0.010460978373885155
Colombia,Actual,0.23497064411640167
Colombia,Optimista,0.0570027157664299
Colombia,Pesimista,0.010478366166353226
Colombia,Actual,0.24283607304096222
Colombia,Optimista,0.05902183800935745
