gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2993587241	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:CAP-1:2013:S3:003003	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Ensenada Capurganá Estación CAP 1	Chocó	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	8.639	-77.344667					2.5	0.5	2013-08-23	23	8	2013	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Christian Michael Diaz Sanchez;Diana Carolina Casas Figueroa			2025-08-02T11:49:04.951Z		COORDINATE_ROUNDED
2993587239	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:PAV-1:2010:M5:002499	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Parque Nacional Natural Corales del Rosario y San Bernardo, Isla Pavitos Estación PAV 1	Bolívar	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	10.174861	-75.770639					14.0	5.0	2010-08-12	12	8	2010	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Raul Navas Camacho;Cindy Melissa Montero			2025-08-02T11:49:04.948Z		COORDINATE_ROUNDED
2993587231	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:CHE-2:2003:M3:001008	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Parque Nacional Natural Tayrona, Bahía Chengue C2 Estación CHE 2	Magdalena	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	11.329861	-74.128611					10.0	7.0	2003-10-17	17	10	2003	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Isabel Cristina Chacón Gómez			2025-08-02T11:49:04.982Z		COORDINATE_ROUNDED
2993587211	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:TES-1:2008:M1:002038	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Parque Nacional Natural Corales del Rosario y San Bernardo, El Tesoro Estación TES 1	Bolívar	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	10.234194	-75.746444					12.0	7.0	2008-08-31	31	8	2008	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Laura Muñoz Escobar;Kelly Gómez Campo			2025-08-02T11:49:04.948Z		COORDINATE_ROUNDED
2993587199	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:CTI-1:2002:S2:000418	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Ensenada Sapzurro, Cabo Tiburón S Estación CTI 1	Chocó	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	8.670417	-77.358667					2.5	0.5	2002-06-29	29	6	2002	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Oscar Caucali;Nelson Manrique			2025-08-02T11:49:04.942Z		COORDINATE_ROUNDED
2993587194	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:IGU-1:2007:M4:001933	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Reserva de Biosfera Sea Flower, Iguana Estación IGU 1	Archipiélago de San Andrés, Providencia y Santa Catalina	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	12.500417	-81.733333					10.5	7.5	2007-07-14	14	7	2007	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Alfredo Abril;Raul Navas Camacho			2025-08-02T11:49:04.945Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
2993587193	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:EMI-2:2017:M4:003286	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Reserva de Biosfera Sea Flower, Emisario Estación EMI 2	Archipiélago de San Andrés, Providencia y Santa Catalina	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	12.5687	-81.7258					10.5	1.5	2017-09-01	1	9	2017	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Laura Sanchez Valencia			2025-08-02T11:49:04.935Z		CONTINENT_COORDINATE_MISMATCH
2993587174	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:WLF-1:2017:M4:003268	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Reserva de Biosfera Sea Flower, Wild Life Estación WLF 1	Archipiélago de San Andrés, Providencia y Santa Catalina	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	12.513133	-81.731233					10.5	7.5	2017-08-30	30	8	2017	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Laura Sanchez Valencia			2025-08-02T11:49:04.932Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
2993587149	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:CAP-1:2004:S3:001227	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Ensenada Capurganá Estación CAP 1	Chocó	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	8.639	-77.344667					2.5	0.5	2004-06-06	6	6	2004	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Alberto Rodríguez Ramirez;Martha Alejandra Ortiz Del Rio			2025-08-02T11:49:04.945Z		COORDINATE_ROUNDED
2993587142	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:ACU-2:2006:S1:001706	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Reserva de Biosfera Sea Flower, Acuario Estación ACU 2	Archipiélago de San Andrés, Providencia y Santa Catalina	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	12.548917	-81.69695					4.5	1.5	2006-09-22	22	9	2006	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Alfredo Abril;Kelly Gómez Campo			2025-08-02T11:49:04.922Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
2993587134	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:MIN-1:2010:S3:002528	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Parque Nacional Natural Corales del Rosario y San Bernardo, Noroeste Isla Mucura Minalta Estación MIN 1	Bolívar	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	9.790583	-75.923389					6.5	0.5	2010-11-20	20	11	2010	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Kelly Gómez Campo;Raul Navas Camacho			2025-08-02T11:49:04.924Z		COORDINATE_ROUNDED
2993587131	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:PAV-1:2008:S5:002061	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Parque Nacional Natural Corales del Rosario y San Bernardo, Isla Pavitos Estación PAV 1	Bolívar	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	10.174861	-75.770639					14.0	5.0	2008-09-01	1	9	2008	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Laura Muñoz Escobar;Johanna Carolina Vega Sequeda			2025-08-02T11:49:04.924Z		COORDINATE_ROUNDED
2993587091	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:MAN-1:2011:S2:002719	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Parque Nacional Natural Corales del Rosario y San Bernardo, Frente a Isla Mangle Estación MAN 1	Bolívar	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	9.777417	-75.785389					5.0	1.0	2011-11-18	18	11	2011	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Johanna Calle Triviño;Maura Maruri Cruz			2025-08-02T11:49:04.907Z		COORDINATE_ROUNDED
2993587053	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:PAV-1:2002:S5:000780	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Parque Nacional Natural Corales del Rosario y San Bernardo, Isla Pavitos Estación PAV 1	Bolívar	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	10.174861	-75.770639					14.0	5.0	2002-12-15	15	12	2002	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Raul Navas Camacho;Monica Andrea Sepulveda Sanchez			2025-08-02T11:49:04.903Z		COORDINATE_ROUNDED
2993587014	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:WLF-1:2004:S3:001316	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Reserva de Biosfera Sea Flower, Wild Life Estación WLF 1	Archipiélago de San Andrés, Providencia y Santa Catalina	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	12.513133	-81.731233					10.5	7.5	2004-09-28	28	9	2004	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Santiago Posada;Adriana Aguirre Aguirre			2025-08-02T11:49:04.866Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
2993587001	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:CEY-1:2017:S4:003218	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Parque Nacional Natural Corales del Rosario y San Bernardo, Ceycen Estación CEY 1	Bolívar	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	9.705528	-75.866139					4.5	1.5	2017-07-24	24	7	2017	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Raul Navas Camacho			2025-08-02T11:49:04.866Z		COORDINATE_ROUNDED
2993586994	f13e2caf-5093-4f9a-9de6-e38775b5a737	INVEMAR:SIMAC:InvVag:WLF-1:2011:S2:002697	Animalia	Echinodermata	Echinoidea	Camarodonta	Echinometridae	Echinometra	Echinometra lucunter		SPECIES	Echinometra lucunter (Linnaeus, 1758)	Echinometra lucunter	(Linnaeus, 1758)	CO	Reserva de Biosfera Sea Flower, Wild Life Estación WLF 1	Archipiélago de San Andrés, Providencia y Santa Catalina	PRESENT		f072f648-b8a4-47a0-9e1c-89d790645b5a	12.513133	-81.731233					10.5	7.5	2011-09-01	1	9	2011	2278861	2278861	HUMAN_OBSERVATION	Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar)						CC_BY_4_0		Luis Alfonso Gómez;Tomás López Londoño			2025-08-02T11:49:04.861Z		COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
