"","gbifID","datasetKey","occurrenceID","kingdom","phylum","class","order","family","genus","species","infraspecificEpithet","taxonRank","scientificName","verbatimScientificName","verbatimScientificNameAuthorship","countryCode","locality","stateProvince","occurrenceStatus","individualCount","publishingOrgKey","decimalLatitude","decimalLongitude","coordinateUncertaintyInMeters","coordinatePrecision","elevation","elevationAccuracy","depth","depthAccuracy","eventDate","day","month","year","taxonKey","speciesKey","basisOfRecord","institutionCode","collectionCode","catalogNumber","recordNumber","identifiedBy","dateIdentified","license","rightsHolder","recordedBy","typeStatus","establishmentMeans","lastInterpreted","mediaType","issue","longitud","latitud"
"11",4428519881,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0059","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",6,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.403111,-81.474528,30,1e-05,0,0,5,2.5,"2022-09-22",22,9,2022,2278861,2278861,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Laura Catalina Franco León","2022-12-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Laura Catalina Franco León","","","2025-01-31T22:09:39.610Z","","CONTINENT_COORDINATE_MISMATCH",-81.474528,12.403111
"12",4428519834,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0086","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",1,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.420889,-81.479028,30,1e-05,0,0,3.5,1.5,"2022-09-22",22,9,2022,2278861,2278861,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Laura Catalina Franco León","2022-12-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Laura Catalina Franco León","","","2025-01-31T22:09:39.516Z","","CONTINENT_COORDINATE_MISMATCH",-81.479028,12.420889
"13",4428519777,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0518","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",16,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.400139,-81.443667,30,1e-05,0,0,5,1,"2022-09-28",28,9,2022,2278861,2278861,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Laura Catalina Franco León","2023-01-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Laura Catalina Franco León","","","2025-01-31T22:09:39.363Z","","CONTINENT_COORDINATE_MISMATCH",-81.443667,12.400139
"14",4428519769,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0535","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",12,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.384139,-81.455694,30,1e-05,0,0,5,1,"2022-09-29",29,9,2022,2278861,2278861,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Martha Catalina Gómez Cubillos","2023-01-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Martha Catalina Gómez Cubillos","","","2025-01-31T22:09:39.334Z","","CONTINENT_COORDINATE_MISMATCH",-81.455694,12.384139
"15",4428519709,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0436","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",1,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.392028,-81.4525,30,1e-05,0,0,2.6,1.1,"2022-09-27",27,9,2022,2278861,2278861,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Laura Catalina Franco León","2023-01-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Laura Catalina Franco León","","","2025-01-31T22:09:39.203Z","","CONTINENT_COORDINATE_MISMATCH",-81.4525,12.392028
"16",4428519696,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0549","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",3,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.393389,-81.442972,30,1e-05,0,0,6,2,"2022-09-29",29,9,2022,2278861,2278861,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Martha Catalina Gómez Cubillos","2023-01-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Carlos Andrés Daza Guerra","","","2025-01-31T22:09:39.176Z","","CONTINENT_COORDINATE_MISMATCH",-81.442972,12.393389
"17",4428519603,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0463","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",2,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.425139,-81.470972,30,1e-05,0,0,6,1,"2022-09-27",27,9,2022,2278861,2278861,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Laura Catalina Franco León","2023-01-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Laura Catalina Franco León","","","2025-01-31T22:09:38.962Z","","CONTINENT_COORDINATE_MISMATCH",-81.470972,12.425139
"18",4428519593,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0344","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",39,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.440361,-81.486111,30,1e-05,0,0,9.05,0.55,"2022-09-26",26,9,2022,2278861,2278861,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Laura Catalina Franco León","2022-12-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Laura Catalina Franco León","","","2025-01-31T22:09:38.942Z","","CONTINENT_COORDINATE_MISMATCH",-81.486111,12.440361
"19",4428519465,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0127","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",9,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.45325,-81.470111,30,1e-05,0,0,4.5,1.5,"2022-09-23",23,9,2022,2278861,2278861,"MACHINE_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Martha Catalina Gómez Cubillos","2022-12-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Martha Catalina Gómez Cubillos","","","2025-01-31T22:09:38.640Z","","CONTINENT_COORDINATE_MISMATCH",-81.470111,12.45325
"20",4428519406,"7754160d-0ded-4960-8888-03e259d8ea94","UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0381","Animalia","Echinodermata","Echinoidea","Camarodonta","Echinometridae","Echinometra","Echinometra lucunter","","SPECIES","Echinometra lucunter (Linnaeus, 1758)","Echinometra lucunter","(Linnaeus, 1758)","CO","Islas Cayos de Bolívar","Archipiélago de San Andrés, Providencia y Santa Catalina","PRESENT",14,"eac88d99-9f6c-4031-8fc4-8088f0e0dfe7",12.446861,-81.486806,30,1e-05,0,0,8.1,0.6,"2022-09-26",26,9,2022,2278861,2278861,"HUMAN_OBSERVATION","Universidad Nacional de Colombia (UNAL)","","","","Laura Catalina Franco León","2022-12-01T00:00:00","CC_BY_NC_4_0","Universidad Nacional de Colombia (UNAL)","Laura Catalina Franco León","","","2025-01-31T22:09:38.528Z","","CONTINENT_COORDINATE_MISMATCH",-81.486806,12.446861
