...1,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
13,4428519465,7754160d-0ded-4960-8888-03e259d8ea94,UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0127,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Islas Cayos de Bolívar,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,9,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.45325,-81.470111,30,1e-5,0,0,4.5,1.5,2022-09-23T00:00:00Z,23,9,2022,2278861,2278861,MACHINE_OBSERVATION,Universidad Nacional de Colombia (UNAL),NA,NA,NA,Martha Catalina Gómez Cubillos,2022-12-01T00:00:00Z,CC_BY_NC_4_0,Universidad Nacional de Colombia (UNAL),Martha Catalina Gómez Cubillos,NA,NA,2025-01-31T22:09:38Z,NA,CONTINENT_COORDINATE_MISMATCH
15,4428519317,7754160d-0ded-4960-8888-03e259d8ea94,UNAL:SEAFLOWER2022:CORAL-ALGAS-HERBIVOROS:0163,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Islas Cayos de Bolívar,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,1,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.449361,-81.493583,30,1e-5,0,0,7.25,0.75,2022-09-24T00:00:00Z,24,9,2022,2278861,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),NA,NA,NA,Laura Catalina Franco León,2022-12-01T00:00:00Z,CC_BY_NC_4_0,Universidad Nacional de Colombia (UNAL),Laura Catalina Franco León,NA,NA,2025-01-31T22:09:38Z,NA,CONTINENT_COORDINATE_MISMATCH
16,4401978321,2b5aab57-4660-40d8-b3a3-149ff3353044,2017:MCUB:R-E:MCUB-R-E-000088,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,El Faro,La Guajira,PRESENT,2,e0455781-2311-4b5b-8cc0-421d73e04f1b,12.24139,-72.11889,NA,NA,0,0,NA,NA,2007-09-01T00:00:00Z,1,9,2007,2278861,2278861,PRESERVED_SPECIMEN,Universidad El Bosque (MCUB),MCUB,MCUB-R-E-000088,NA,María del Pilar Urrego,2015-08-31T00:00:00Z,CC_BY_4_0,Universidad El Bosque,L. Sarmiento,NA,NA,2025-05-16T16:13:48Z,NA,INSTITUTION_MATCH_NONE
17,4400815534,1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2,UDEA:CEMUA:ECHI:000152,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"Linnaeus, 1758",CO,El Inglés,Bolívar,PRESENT,2,cccff716-2694-4209-9f9e-2f7a484465a0,9.3895,-76.1812,NA,NA,NA,NA,NA,NA,2015-04-24T00:00:00Z,24,4,2015,2278861,2278861,PRESERVED_SPECIMEN,Universidad de Antioquia (UDEA),CEMUA,ECHI:000152,NA,Mario Hernán Londoño Mesa,2015-04-24T00:00:00Z,CC_BY_4_0,Universidad de Antioquia,Mario Hernán Londoño Mesa,NA,NA,2025-01-31T18:18:19Z,NA,INSTITUTION_MATCH_NONE
18,4400815419,1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2,UDEA:CEMUA:ECHI:000107,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"Linnaeus, 1758",CO,El Claval,Bolívar,PRESENT,1,cccff716-2694-4209-9f9e-2f7a484465a0,9.3804,-76.1916,NA,NA,NA,NA,NA,NA,2011-09-26T00:00:00Z,26,9,2011,2278861,2278861,PRESERVED_SPECIMEN,Universidad de Antioquia (UDEA),CEMUA,ECHI:000107,NA,Daniela Yepes Gaurisas,2011-09-26T00:00:00Z,CC_BY_4_0,Universidad de Antioquia,Daniela Yepes Gaurisas,NA,NA,2025-01-31T18:18:18Z,NA,INSTITUTION_MATCH_NONE
19,4400815378,1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2,UDEA:CEMUA:ECHI:000095,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"Linnaeus, 1758",CO,Mazatlán,Bolívar,PRESENT,1,cccff716-2694-4209-9f9e-2f7a484465a0,9.3832,-75.8263,NA,NA,NA,NA,NA,NA,2011-09-26T00:00:00Z,26,9,2011,2278861,2278861,PRESERVED_SPECIMEN,Universidad de Antioquia (UDEA),CEMUA,ECHI:000095,NA,Daniela Yepes Gaurisas,2011-09-26T00:00:00Z,CC_BY_4_0,Universidad de Antioquia,Daniela Yepes Gaurisas,NA,NA,2025-01-31T18:18:18Z,NA,INSTITUTION_MATCH_NONE
20,4400815374,1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2,UDEA:CEMUA:ECHI:000091,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"Linnaeus, 1758",CO,Canales de Tio Kike,Bolívar,PRESENT,2,cccff716-2694-4209-9f9e-2f7a484465a0,9.7963,-75.858,NA,NA,NA,NA,4,0,2012-06-24T00:00:00Z,24,6,2012,2278861,2278861,PRESERVED_SPECIMEN,Universidad de Antioquia (UDEA),CEMUA,ECHI:000091,NA,Daniela Yepes Gaurisas,2012-06-24T00:00:00Z,CC_BY_4_0,Universidad de Antioquia,Mario Hernán Londoño Mesa;Daniela Yepes Gaurisas,NA,NA,2025-01-31T18:18:18Z,NA,INSTITUTION_MATCH_NONE
21,4400815370,1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2,UDEA:CEMUA:ECHI:000088,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"Linnaeus, 1758",CO,El Matal,Bolívar,PRESENT,4,cccff716-2694-4209-9f9e-2f7a484465a0,9.3958,-75.8135,NA,NA,NA,NA,NA,NA,2009-08-08T00:00:00Z,8,8,2009,2278861,2278861,PRESERVED_SPECIMEN,Universidad de Antioquia (UDEA),CEMUA,ECHI:000088,NA,Daniela Yepes Gaurisas,2009-08-08T00:00:00Z,CC_BY_4_0,Universidad de Antioquia,Daniela Yepes Gaurisas,NA,NA,2025-01-31T18:18:18Z,NA,INSTITUTION_MATCH_NONE
22,4400815368,1eaa9e1b-cb70-4ee5-a29e-31e2b5021cc2,UDEA:CEMUA:ECHI:000089,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"Linnaeus, 1758",CO,NA,Bolívar,PRESENT,1,cccff716-2694-4209-9f9e-2f7a484465a0,9.3802,-75.822,NA,NA,NA,NA,NA,NA,2002-02-11T00:00:00Z,11,2,2002,2278861,2278861,PRESERVED_SPECIMEN,Universidad de Antioquia (UDEA),CEMUA,ECHI:000089,NA,Daniela Yepes Gaurisas,2002-02-11T00:00:00Z,CC_BY_4_0,Universidad de Antioquia,Daniela Yepes Gaurisas,NA,NA,2025-01-31T18:18:18Z,NA,INSTITUTION_MATCH_NONE
24,4054966609,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/149974868,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,Magdalena,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,11.270767,-74.201127,102,NA,NA,NA,NA,NA,2023-02-26T13:19:31Z,26,2,2023,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,149974868,NA,Francisco Riquelme Tapia,2023-03-01T13:06:05Z,CC_BY_NC_4_0,Francisco Riquelme Tapia,Francisco Riquelme Tapia,NA,NA,2025-05-16T18:41:06Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
25,3873290930,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/125728307,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,San Andrés y Providencia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,12.553895,-81.689292,4,NA,NA,NA,NA,NA,2022-07-05T13:08:31Z,5,7,2022,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,125728307,NA,Litrato15,2022-07-11T03:01:33Z,CC_BY_NC_4_0,Litrato15,Litrato15,NA,NA,2025-05-16T19:05:10Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
28,3325489479,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/83092670,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,Bolívar,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,10.190634,-75.634186,635,NA,NA,NA,NA,NA,2021-06-14T22:43:24Z,14,6,2021,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,83092670,NA,NA,NA,CC_BY_NC_4_0,Carlos Rangel,Carlos Rangel,NA,NA,2025-05-16T19:24:33Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
