...1,gbifID,datasetKey,occurrenceID,kingdom,phylum,class,order,family,genus,species,infraspecificEpithet,taxonRank,scientificName,verbatimScientificName,verbatimScientificNameAuthorship,countryCode,locality,stateProvince,occurrenceStatus,individualCount,publishingOrgKey,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,coordinatePrecision,elevation,elevationAccuracy,depth,depthAccuracy,eventDate,day,month,year,taxonKey,speciesKey,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordNumber,identifiedBy,dateIdentified,license,rightsHolder,recordedBy,typeStatus,establishmentMeans,lastInterpreted,mediaType,issue
29,2993588690,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:TIO-1:2008:M1:002097,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Noroeste de Isla Tintipan Tiosolda Estación TIO 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,9.821944,-75.890833,NA,NA,NA,NA,10.5,1.5,2008-09-30T00:00:00Z,30,9,2008,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Catalina Casas;Johanna Carolina Vega Sequeda,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
30,2993588681,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:IGU-1:2005:S3:001463,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, Iguana Estación IGU 1","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,12.500417,-81.733333,NA,NA,NA,NA,10.5,7.5,2005-09-13T00:00:00Z,13,9,2005,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Carlos Andrés Orozco;Julian Olaya,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
31,2993588668,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:PAV-1:2013:M3:003053,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Isla Pavitos Estación PAV 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,10.174861,-75.770639,NA,NA,NA,NA,14,5,2013-12-05T00:00:00Z,5,12,2013,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Laura Muñoz Escobar;Diana Carolina Ballesteros Contreras,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
32,2993588666,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:MAN-1:2012:S1:002919,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Frente a Isla Mangle Estación MAN 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,9.777417,-75.785389,NA,NA,NA,NA,5,1,2012-12-05T00:00:00Z,5,12,2012,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Raul Navas Camacho;Johanna Carolina Vega Sequeda,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
34,2993588654,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:CTI-1:2004:S2:001232,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Ensenada Sapzurro, Cabo Tiburón S Estación CTI 1",Chocó,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,8.670417,-77.358667,NA,NA,NA,NA,2.5,0.5,2004-06-07T00:00:00Z,7,6,2004,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Sonia Bejarano;Martha Alejandra Ortiz Del Rio,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
35,2993588600,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:WLF-1:2011:S5:002690,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, Wild Life Estación WLF 1","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,12.513133,-81.731233,NA,NA,NA,NA,10.5,7.5,2011-09-01T00:00:00Z,1,9,2011,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Luis Alfonso Gómez;Tomás López Londoño,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
62,2993585432,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:CAP-2:2002:M2:000439,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,Ensenada Capurganá Estación CAP 2,Chocó,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,8.642056,-77.33625,NA,NA,NA,NA,10,2,2002-07-01T00:00:00Z,1,7,2002,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Oscar Caucali;Nelson Manrique,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
41,2993588476,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:CHE-1:2009:S3:002355,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Tayrona, Bahía Chengue C1 Estación CHE 1",Magdalena,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,11.325611,-74.128361,NA,NA,NA,NA,9.5,6.5,2009-11-04T00:00:00Z,4,11,2009,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Angelica Batista;Raul Navas Camacho,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
38,2993588522,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:CTI-2:2006:M3:001640,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Ensenada Sapzurro, Cabo Tiburón M Estación CTI 2",Chocó,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,8.672167,-77.356667,NA,NA,NA,NA,10.5,1.5,2006-07-27T00:00:00Z,27,7,2006,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Katherine Bernal,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
46,2993588262,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:CEY-1:2002:S2:000370,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Ceycen Estación CEY 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,9.705528,-75.866139,NA,NA,NA,NA,4.5,1.5,2002-05-03T00:00:00Z,3,5,2002,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Sonia Bejarano;Nelson Manrique,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
40,2993588477,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:TES-1:2009:M5:002310,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, El Tesoro Estación TES 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,10.234194,-75.746444,NA,NA,NA,NA,12,7,2009-05-22T00:00:00Z,22,5,2009,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Gloria Castro;Raul Navas Camacho,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
42,2993588472,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:NET-1:2007:M3:001906,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, No Entry Estación NET 1","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,13.456028,-81.367306,NA,NA,NA,NA,11,1,2007-07-09T00:00:00Z,9,7,2007,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Alfredo Abril;Raul Navas Camacho,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
43,2993588468,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:COC-1:2011:M3:002590,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, La Coca Estación COC 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,10.170889,-75.788861,NA,NA,NA,NA,8.5,3.5,2011-05-11T00:00:00Z,11,5,2011,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Raul Navas Camacho;Tomás López Londoño,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
44,2993588444,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:LIT-1:2007:S5:001962,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, little Reef Estación LIT 1","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,12.584717,-81.686283,NA,NA,NA,NA,4.5,1.5,2007-07-18T00:00:00Z,18,7,2007,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Alfredo Abril;Raul Navas Camacho,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
47,2993588203,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:BAR-1:2006:S2:001758,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, The Bar Estación BAR 1","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,13.367233,-81.396967,NA,NA,NA,NA,10.5,1.5,2006-09-29T00:00:00Z,29,9,2006,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Nicasio Howard;Katherine Bernal,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
48,2993588192,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:AGU-1:2002:S3:000449,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Ensenada Capurganá, Punta del Aguacate, al fondo de la ensenada, Aguacate S Estación AGU 1",Chocó,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,8.616722,-77.326861,NA,NA,NA,NA,4.5,1.5,2002-07-02T00:00:00Z,2,7,2002,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Jaime Garzón Ferreira;Nelson Manrique,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
49,2993587940,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:IFU-2:2009:S3:002237,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Isla Fuerte, Los Boyones Estación IFU 2",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,9.371444,-76.202278,NA,NA,NA,NA,8,1,2009-03-19T00:00:00Z,19,3,2009,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Johanna Carolina Vega Sequeda,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
50,2993587934,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:MAZ-2:2007:M3:001889,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, Manzanillo Estación 2","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,13.313639,-81.375278,NA,NA,NA,NA,10,0,2007-07-08T00:00:00Z,8,7,2007,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Raul Navas Camacho,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
51,2993587845,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:IFU-1:2009:M3:002252,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Isla Fuerte, Fondo Loco Estación IFU 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,9.380111,-76.207639,NA,NA,NA,NA,11,1,2009-03-20T00:00:00Z,20,3,2009,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Johanna Carolina Vega Sequeda,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
53,2993587676,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:MIN-1:2008:S3:002107,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Noroeste Isla Mucura Minalta Estación MIN 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,9.790583,-75.923389,NA,NA,NA,NA,6.5,0.5,2008-09-30T00:00:00Z,30,9,2008,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Catalina Casas;Laura Muñoz Escobar,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED
60,2993585991,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:CAN-1:2001:S1:000167,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, El Canal Estación CAN 1","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,13.388767,-81.390633,NA,NA,NA,NA,10.5,1.5,2001-10-22T00:00:00Z,22,10,2001,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Valeria Pizarro;Sonia Bejarano,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
56,2993587193,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:EMI-2:2017:M4:003286,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, Emisario Estación EMI 2","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,12.5687,-81.7258,NA,NA,NA,NA,10.5,1.5,2017-09-01T00:00:00Z,1,9,2017,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Laura Sanchez Valencia,NA,NA,2025-02-01T02:06:53Z,NA,CONTINENT_COORDINATE_MISMATCH
61,2993585845,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:SFE-2:2006:M1:001747,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Reserva de Biosfera Sea Flower, San Felipe Estación SFE 2","Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,13.365517,-81.414394,NA,NA,NA,NA,11.5,0.5,2006-09-28T00:00:00Z,28,9,2006,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Nicasio Howard;Katherine Bernal,NA,NA,2025-02-01T02:06:53Z,NA,COORDINATE_ROUNDED;CONTINENT_COORDINATE_MISMATCH
59,2993586389,f13e2caf-5093-4f9a-9de6-e38775b5a737,INVEMAR:SIMAC:InvVag:VAR-1:2018:S4:003369,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,"(Linnaeus, 1758)",CO,"Parque Nacional Natural Corales del Rosario y San Bernardo, Cartagena, Varadero Estación VAR 1",Bolívar,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,10.308042,-75.585069,NA,NA,NA,NA,4.25,1.75,2018-04-28T00:00:00Z,28,4,2018,2278861,2278861,HUMAN_OBSERVATION,Instituto de Investigaciones Marinas y Costeras “José Benito Vives de Andréis” (Invemar),NA,NA,NA,NA,NA,CC_BY_4_0,NA,Laura Sanchez Valencia,NA,NA,2025-02-01T02:06:53Z,NA,NA
63,2423122468,50c9509d-22c7-4a22-a47d-8c48425ef4a7,https://www.inaturalist.org/observations/32915658,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,NA,SPECIES,"Echinometra lucunter (Linnaeus, 1758)",Echinometra lucunter,NA,CO,NA,San Andrés y Providencia,PRESENT,NA,28eb1a3f-1c15-4a95-931a-4af90ecb574d,13.381872,-81.373621,257,NA,NA,NA,NA,NA,2012-07-10T13:35:28Z,10,7,2012,2278861,2278861,HUMAN_OBSERVATION,iNaturalist,Observations,32915658,NA,Alexis Felipe,2019-09-17T22:40:57Z,CC_BY_NC_4_0,Sebastián Lescano,Sebastián Lescano,NA,NA,2025-05-16T20:05:17Z,StillImage,COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
65,2270458627,888f0578-bef9-41f6-a687-19137510a437,UNAL_CECIMAR:SEAFLOWER2018:EQUINO:141,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,lucunter,SUBSPECIES,Echinometra lucunter lucunter,Echinometra lucunter lucunter,"(Linnaeus, 1758)",CO,Albuquerque,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,6,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.1554,-81.8484,NA,NA,NA,NA,7.05,1.55,2018-09-28T00:00:00Z,28,9,2018,7189075,2278861,MACHINE_OBSERVATION,Universidad Nacional de Colombia (UNAL),Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis (INVEMAR),UNAL_CECIMAR:SEAFLOWER2018:EQUINO:141,CCO_2018_ECHI_ALB_141,Andrea Dueñas,2018-09-28T00:00:00Z,CC_BY_NC_4_0,NA,Brigitte Gavio,NA,NA,2025-01-31T22:59:43Z,NA,CONTINENT_COORDINATE_MISMATCH
66,2270458615,888f0578-bef9-41f6-a687-19137510a437,UNAL_CECIMAR:SEAFLOWER2018:EQUINO:112,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,lucunter,SUBSPECIES,Echinometra lucunter lucunter,Echinometra lucunter lucunter,"(Linnaeus, 1758)",CO,Albuquerque,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,1,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.1654,-81.8401,NA,NA,NA,NA,1.15,0.65,2018-10-01T00:00:00Z,1,10,2018,7189075,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),MHNMC,En proceso de catalogación,CCO_2018_ECHI_ALB_112,Roxana Martínez Canseco,2018-10-15T00:00:00Z,CC_BY_NC_4_0,NA,Andrea Dueñas,NA,NA,2025-01-31T22:59:43Z,NA,CONTINENT_COORDINATE_MISMATCH
67,2270458583,888f0578-bef9-41f6-a687-19137510a437,UNAL_CECIMAR:SEAFLOWER2018:EQUINO:46,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,lucunter,SUBSPECIES,Echinometra lucunter lucunter,Echinometra lucunter lucunter,"(Linnaeus, 1758)",CO,Albuquerque,"Archipiélago de San Andrés, Providencia y Santa Catalina",PRESENT,1,eac88d99-9f6c-4031-8fc4-8088f0e0dfe7,12.1613,-81.8526,NA,NA,NA,NA,9.6,0,2018-09-27T00:00:00Z,27,9,2018,7189075,2278861,HUMAN_OBSERVATION,Universidad Nacional de Colombia (UNAL),Instituto de Investigaciones Marinas y Costeras José Benito Vives de Andréis (INVEMAR),UNAL_CECIMAR:SEAFLOWER2018:EQUINO:46,CCO_2018_ECHI_ALB_046,Carlos Daza,2018-09-27T00:00:00Z,CC_BY_NC_4_0,NA,Carlos Daza,NA,NA,2025-01-31T22:59:43Z,NA,CONTINENT_COORDINATE_MISMATCH
69,2235023792,5a39c87c-9d97-4282-b3a9-e2c292b4729d,Echi_SFBR:224,Animalia,Echinodermata,Echinoidea,Camarodonta,Echinometridae,Echinometra,Echinometra lucunter,lucunter,SUBSPECIES,Echinometra lucunter lucunter,Echinometra lucunter lucunter,"(Linnaeus, 1758)",CO,Quitasueño Bank,NA,PRESENT,NA,f072f648-b8a4-47a0-9e1c-89d790645b5a,14.333333,-81.25,NA,NA,NA,NA,NA,NA,2011-09-14T00:00:00Z,14,9,2011,7189075,2278861,PRESERVED_SPECIMEN,INVEMAR | UNAL,UNAL_SedeCaribe,UNAL_2011_ECHI_QUISUEÑO_35,NA,NA,NA,CC_BY_NC_4_0,NA,NA,NA,NA,2025-01-31T20:54:30Z,NA,CONTINENT_COORDINATE_MISMATCH;INSTITUTION_MATCH_NONE
