pais,escenario,idoneidad,idoneidad_tf
Colombia,Actual,0.024884797632694244,0.024886442472274263
Colombia,Optimista,0.005434348247945309,0.005436060424602393
Colombia,Pesimista,9.454237297177315e-4,9.471514469440975e-4
Colombia,Actual,0.01967494562268257,0.019676608498668813
Colombia,Optimista,0.00428651412948966,0.004288230279926114
Colombia,Pesimista,7.437097956426442e-4,7.454382111987225e-4
Colombia,Actual,0.05223468318581581,0.05223623334062455
Colombia,Optimista,0.01155434176325798,0.011556032752616671
Colombia,Pesimista,0.0020329547114670277,0.0020346786636823095
Colombia,Actual,0.04131244495511055,0.041314032922495386
Colombia,Optimista,0.009094576351344585,0.009096275856363242
Colombia,Pesimista,0.001594680710695684,0.001596406180207023
Colombia,Actual,0.08723771572113037,0.08723914469612198
Colombia,Optimista,0.01956094242632389,0.019562605696986975
Colombia,Pesimista,0.0034371495712548494,0.0034388686621748665
Colombia,Actual,0.3783233165740967,0.37832373781640566
Colombia,Optimista,0.0977151021361351,0.09771649483861895
Colombia,Pesimista,0.017720917239785194,0.01772258688057965
Colombia,Actual,0.31365880370140076,0.3136594488109942
Colombia,Optimista,0.07816807925701141,0.07816953963090788
Colombia,Pesimista,0.014020075090229511,0.014021757543267434
Colombia,Actual,0.01721670851111412,0.01721837989746938
Colombia,Optimista,0.0037477712612599134,0.0037494892768136874
Colombia,Pesimista,6.495518027804792e-4,6.512805443096956e-4
Colombia,Actual,0.04411888122558594,0.04412045947714305
Colombia,Optimista,0.009734835475683212,0.009736532764137246
Colombia,Pesimista,0.0017189487116411328,0.001720673750939072
Colombia,Actual,0.12062881886959076,0.1206301322452334
Colombia,Optimista,0.027478285133838654,0.02747992099481544
Colombia,Pesimista,0.004876823164522648,0.0048785372713207155
Colombia,Actual,0.1359204202890396,0.13592168072545588
Colombia,Optimista,0.03115556761622429,0.031157190746520718
Colombia,Pesimista,0.005524863954633474,0.005526575817926945
Colombia,Actual,0.19468194246292114,0.19468299946809173
Colombia,Optimista,0.04579723998904228,0.04579881243015403
Colombia,Pesimista,0.008152659982442856,0.008154362748357642
Colombia,Actual,0.2726282775402069,0.2726290646966831
Colombia,Optimista,0.06656567007303238,0.06656717061424354
Colombia,Pesimista,0.011927468702197075,0.011929158399797569
Colombia,Actual,0.24612849950790405,0.24612937840609583
Colombia,Optimista,0.059287674725055695,0.05928920046254505
Colombia,Pesimista,0.010563190095126629,0.010564884515833097
Colombia,Actual,0.02831723541021347,0.028318868366760733
Colombia,Optimista,0.0061932834796607494,0.0061949930288988375
Colombia,Pesimista,0.0010760612785816193,0.0010777885435433346
Colombia,Actual,0.03152703866362572,0.031528660507896614
Colombia,Optimista,0.006933961063623428,0.006935668048650142
Colombia,Pesimista,0.0012299339286983013,0.001231660660955898
Colombia,Actual,0.31698188185691833,0.31698251546207995
Colombia,Optimista,0.07941899448633194,0.07942045052958424
Colombia,Pesimista,0.014503094367682934,0.014504775148517522
Colombia,Actual,0.23640097677707672,0.2364018893517628
Colombia,Optimista,0.05683477967977524,0.05683631390913948
Colombia,Pesimista,0.010256768204271793,0.010258463685804882
Colombia,Actual,0.276968777179718,0.276969549309469
Colombia,Optimista,0.06791666895151138,0.06791816481559074
Colombia,Pesimista,0.012289194390177727,0.012290882835490931
Colombia,Actual,0.25058120489120483,0.25058206837421726
Colombia,Optimista,0.060611870139837265,0.06061339129298787
Colombia,Pesimista,0.01090684812515974,0.0109085413561288
Colombia,Actual,0.2661353349685669,0.26613614460348384
Colombia,Optimista,0.06482812017202377,0.06482962672859886
Colombia,Pesimista,0.01165772695094347,0.011659417582384654
Colombia,Actual,0.2584782540798187,0.25847909022340065
Colombia,Optimista,0.06268862634897232,0.06269014031243338
Colombia,Pesimista,0.011233470402657986,0.01123516250286708
Colombia,Actual,0.33200377225875854,0.3320043538584281
Colombia,Optimista,0.08360546082258224,0.0836069023723696
Colombia,Pesimista,0.015079701319336891,0.015081380103969439
Colombia,Actual,0.0408359169960022,0.04083750661311755
Colombia,Optimista,0.008978978730738163,0.00898067863595353
Colombia,Pesimista,0.001564157661050558,0.0015658832362321006
Colombia,Actual,0.030500974506139755,0.030502599902624786
Colombia,Optimista,0.006717597134411335,0.00671930486848576
Colombia,Pesimista,0.0011950748739764094,0.0011968017269153748
Colombia,Actual,0.1391879767179489,0.13918922584214843
Colombia,Optimista,0.03205753117799759,0.03205915118571373
Colombia,Pesimista,0.005755214020609856,0.005756925086435882
Colombia,Actual,0.26039907336235046,0.26039990285609343
Colombia,Optimista,0.06342396885156631,0.06342548026928593
Colombia,Pesimista,0.011521082371473312,0.01152277347597537
Colombia,Actual,0.2476908266544342,0.2476917001438798
Colombia,Optimista,0.05991635471582413,0.0599178782768356
Colombia,Pesimista,0.010847472585737705,0.010849166022263726
Colombia,Actual,0.24886274337768555,0.2488636128099783
Colombia,Optimista,0.060208965092897415,0.06021048764089745
Colombia,Pesimista,0.01087996456772089,0.010881657891760302
Colombia,Actual,0.2544306218624115,0.25443147201881733
Colombia,Optimista,0.061689335852861404,0.061690853275846697
Colombia,Pesimista,0.011128413490951061,0.011130105954865138
Colombia,Actual,0.2576078772544861,0.2576087164112956
Colombia,Optimista,0.06251116096973419,0.06251267554757693
Colombia,Pesimista,0.011251039803028107,0.011252731842412279
Colombia,Actual,0.2535797655582428,0.2535806186602966
Colombia,Optimista,0.06137413531541824,0.06137565382962166
Colombia,Pesimista,0.01101096160709858,0.011012654477628793
Colombia,Actual,0.19933626055717468,0.19933730144918665
Colombia,Optimista,0.046983372420072556,0.04698494075481692
Colombia,Pesimista,0.008353464305400848,0.008355166376134978
Colombia,Actual,0.026341332122683525,0.026342971919769496
Colombia,Optimista,0.005759863648563623,0.0057615746982927285
Colombia,Pesimista,0.0010035036830231547,0.0010052311991778533
Colombia,Actual,0.2238306701183319,0.2238316262111749
Colombia,Optimista,0.05399281904101372,0.05399436310919036
Colombia,Pesimista,0.009897062554955482,0.009898759281782526
Colombia,Actual,0.11821360886096954,0.11821493059802221
Colombia,Optimista,0.02715778723359108,0.027159424204125353
Colombia,Pesimista,0.004914798773825169,0.004916512749152417
Colombia,Actual,0.07253258675336838,0.07253406663723017
Colombia,Optimista,0.01633010059595108,0.01633177505172568
Colombia,Pesimista,0.0029375881422311068,0.0029393089626230644
Colombia,Actual,0.18800173699855804,0.1880028171304699
Colombia,Optimista,0.044479988515377045,0.044481565516787745
Colombia,Pesimista,0.0080842524766922,0.008085955479432439
Colombia,Actual,0.09456562995910645,0.09456703356500165
Colombia,Optimista,0.02145230956375599,0.02145396628654287
Colombia,Pesimista,0.003854991402477026,0.0038567090468367587
Colombia,Actual,0.0775931254029274,0.07759458776730292
Colombia,Optimista,0.01745855249464512,0.017460223043741212
Colombia,Pesimista,0.0031278645619750023,0.0031295847236336998
Colombia,Actual,0.14533814787864685,0.14533937571107355
Colombia,Optimista,0.03362710401415825,0.03362871858804379
Colombia,Pesimista,0.006058639381080866,0.006060349396454202
Colombia,Actual,0.2678705155849457,0.26787131921270113
Colombia,Optimista,0.06558964401483536,0.06559114793502974
Colombia,Pesimista,0.011964370496571064,0.011966060066418264
Colombia,Actual,0.24000602960586548,0.24000692969992884
Colombia,Optimista,0.05791594833135605,0.05791747881773547
Colombia,Pesimista,0.010513687506318092,0.01051538209840156
Colombia,Actual,0.24546411633491516,0.24546499753318854
Colombia,Optimista,0.05935083329677582,0.059352358815611427
Colombia,Pesimista,0.010762680321931839,0.010764374052007027
Colombia,Actual,0.25005361437797546,0.250054479687496
Colombia,Optimista,0.060565829277038574,0.06056735058958176
Colombia,Pesimista,0.010968310758471489,0.010970003776658108
Colombia,Actual,0.25408974289894104,0.2540905942354632
Colombia,Optimista,0.06162567809224129,0.06162719573560851
Colombia,Pesimista,0.011139207519590855,0.011140899946136215
Colombia,Actual,0.2637278437614441,0.26372866173104875
Colombia,Optimista,0.06421824544668198,0.06421975411463149
Colombia,Pesimista,0.011588828638195992,0.011590519508161793
Colombia,Actual,0.22105076909065247,0.22105173480745868
Colombia,Optimista,0.05268232151865959,0.05268387012375314
Colombia,Pesimista,0.009432701393961906,0.009434399728398248
Colombia,Actual,0.22907203435897827,0.22907297230632032
Colombia,Optimista,0.054776523262262344,0.05477806461727023
Colombia,Pesimista,0.009787552058696747,0.009789249164646996
Colombia,Actual,0.02151070162653923,0.021512358147173928
Colombia,Optimista,0.004695866722613573,0.00469758145587932
Colombia,Pesimista,8.189664804376662e-4,8.206946354565671e-4
Colombia,Actual,0.19490322470664978,0.19490428094574555
Colombia,Optimista,0.046392764896154404,0.04639433527557052
Colombia,Pesimista,0.0084929084405303,0.008494610028511549
Colombia,Actual,0.25400418043136597,0.25400503206410374
